Date,Category,Description,Value
2024-01-05,Salary,Salary,2500.00
2024-01-07,Dinning,Starbucks,-15.75
2024-01-09,Internet Maintenance,Transfer to John Doe,-45.30
2024-01-11,Groceries,Walmart,-120.50
2024-01-13,Transportation,Gas Station,-60.25
2024-01-15,Transportation,Uber,-30.10
2024-01-17,Dinning,Restaurant,-75.45
2024-01-19,Side Job Income,Transfer from Jane Smith,500.00
2024-01-21,Transportation,Public Transportation,-20.60
2024-01-23,Groceries,Target,-50.75
2024-01-25,Transportation,Bus Ticket,-35.20
2024-01-27,Entertainment,Concert,-90.15
2024-01-29,Transportation,Lyft,-25.80
2024-01-31,Groceries,Market,-40.35
2024-02-02,Entertainment,Bar,-15.90
2024-02-04,Salary,Salary,2500.00
2024-02-06,Dinning,Starbucks,-18.75
2024-02-08,Dinning,Transfer to Alice Johnson,-50.30
2024-02-10,Groceries,Walmart,-130.50
2024-02-12,Transportation,Gas Station,-70.25
2024-02-14,Transportation,Uber,-35.10
2024-02-16,Dinning,Restaurant,-85.45
2024-02-18,Side Job Income,Transfer from Bob Brown,600.00
2024-02-20,Transportation,Public Transportation,-25.60
2024-02-22,Groceries,Target,-60.75
2024-02-24,Transportation,Bus Ticket,-40.20
2024-02-26,Entertainment,Concert,-100.15
2024-02-28,Transportation,Lyft,-30.80
